ratio_percent;simu;scenario;variable
-0.456997020404572;simu4;scefmsylowplgnb;nbtrip
0.00315272426905722;simu5;scefmsylowplgnb;nbtrip
-0.617719455027199;simu9;scefmsylowplgnb;nbtrip
-1.56664687942661;simu1;scefmsylowsevereandchokeplgnb;nbtrip
-1.92380021062132;simu2;scefmsylowsevereandchokeplgnb;nbtrip
-2.65194578049847;simu3;scefmsylowsevereandchokeplgnb;nbtrip
-1.31095912799688;simu4;scefmsylowsevereandchokeplgnb;nbtrip
-0.173084562370335;simu5;scefmsylowsevereandchokeplgnb;nbtrip
-1.90458272580469;simu9;scefmsylowsevereandchokeplgnb;nbtrip
1.16901757923533;simu1;scesmallerselplgnb;nbtrip
0.89952860939772;simu2;scesmallerselplgnb;nbtrip
0.390405396964198;simu3;scesmallerselplgnb;nbtrip
1.15600759356809;simu4;scesmallerselplgnb;nbtrip
1.50132729691728;simu5;scesmallerselplgnb;nbtrip
0.962011821331714;simu9;scesmallerselplgnb;nbtrip
-2.09587703015512;simu1;scejcodboxplgnb;nbtrip
-1.94291911137857;simu2;scejcodboxplgnb;nbtrip
-2.22156287088512;simu3;scejcodboxplgnb;nbtrip
-1.81667316226851;simu4;scejcodboxplgnb;nbtrip
-0.851550825067932;simu5;scejcodboxplgnb;nbtrip
-1.93750685919446;simu9;scejcodboxplgnb;nbtrip
2.35106286074223;simu1;scesevereandchokeplgnb;av_bwtrip
1.3000453168756;simu2;scesevereandchokeplgnb;av_bwtrip
2.43961303354597;simu3;scesevereandchokeplgnb;av_bwtrip
2.10747142929864;simu4;scesevereandchokeplgnb;av_bwtrip
2.23849440347344;simu5;scesevereandchokeplgnb;av_bwtrip
2.71984916093353;simu9;scesevereandchokeplgnb;av_bwtrip
-0.648488206800508;simu1;scefmsylowplgnb;av_bwtrip
0.94972805715463;simu2;scefmsylowplgnb;av_bwtrip
2.10753111263433;simu3;scefmsylowplgnb;av_bwtrip
1.91682829006712;simu4;scefmsylowplgnb;av_bwtrip
1.57631892635695;simu5;scefmsylowplgnb;av_bwtrip
2.3027891980994;simu9;scefmsylowplgnb;av_bwtrip
1.55563827450732;simu1;scefmsylowsevereandchokeplgnb;av_bwtrip
1.65814011526508;simu2;scefmsylowsevereandchokeplgnb;av_bwtrip
3.76762766380484;simu3;scefmsylowsevereandchokeplgnb;av_bwtrip
3.34750475318974;simu4;scefmsylowsevereandchokeplgnb;av_bwtrip
1.38587764838307;simu5;scefmsylowsevereandchokeplgnb;av_bwtrip
4.5761618305076;simu9;scefmsylowsevereandchokeplgnb;av_bwtrip
-2.27252302596534;simu1;scesmallerselplgnb;av_bwtrip
-3.59121814066849;simu2;scesmallerselplgnb;av_bwtrip
-2.89895301491036;simu3;scesmallerselplgnb;av_bwtrip
-1.96803302170517;simu4;scesmallerselplgnb;av_bwtrip
-3.33008656149842;simu5;scesmallerselplgnb;av_bwtrip
-2.1173098084206;simu9;scesmallerselplgnb;av_bwtrip
2.33969600488741;simu1;scejcodboxplgnb;av_bwtrip
1.36770332870296;simu2;scejcodboxplgnb;av_bwtrip
1.60744553074439;simu3;scejcodboxplgnb;av_bwtrip
1.85600225212499;simu4;scejcodboxplgnb;av_bwtrip
0.987345254532613;simu5;scejcodboxplgnb;av_bwtrip
2.9137494769422;simu9;scejcodboxplgnb;av_bwtrip
-1.46901646036208;simu1;scesevereandchokeplgnb;av_trip_duration
-0.23899743370869;simu2;scesevereandchokeplgnb;av_trip_duration
-0.723334505618425;simu3;scesevereandchokeplgnb;av_trip_duration
0.0993975895726749;simu4;scesevereandchokeplgnb;av_trip_duration
0.861755936192935;simu5;scesevereandchokeplgnb;av_trip_duration
-0.874652936773273;simu9;scesevereandchokeplgnb;av_trip_duration
0.189503669922388;simu1;scefmsylowplgnb;av_trip_duration
-0.103144929640663;simu2;scefmsylowplgnb;av_trip_duration
-0.219287655462807;simu3;scefmsylowplgnb;av_trip_duration
-0.383401945752965;simu4;scefmsylowplgnb;av_trip_duration
0.500838449395744;simu5;scefmsylowplgnb;av_trip_duration
-0.104977279656396;simu9;scefmsylowplgnb;av_trip_duration
-0.607042849090874;simu1;scefmsylowsevereandchokeplgnb;av_trip_duration
0.279133526218061;simu2;scefmsylowsevereandchokeplgnb;av_trip_duration
0.798652711643257;simu3;scefmsylowsevereandchokeplgnb;av_trip_duration
-0.295614428653323;simu4;scefmsylowsevereandchokeplgnb;av_trip_duration
0.101273651562821;simu5;scefmsylowsevereandchokeplgnb;av_trip_duration
-0.18474482849895;simu9;scefmsylowsevereandchokeplgnb;av_trip_duration
-0.611683476294971;simu1;scesmallerselplgnb;av_trip_duration
0.509915061226465;simu2;scesmallerselplgnb;av_trip_duration
-0.140980263222986;simu3;scesmallerselplgnb;av_trip_duration
0.319071466371597;simu4;scesmallerselplgnb;av_trip_duration
0.0103678345232652;simu5;scesmallerselplgnb;av_trip_duration
0.485463468081335;simu9;scesmallerselplgnb;av_trip_duration
-1.41001826878504;simu1;scejcodboxplgnb;av_trip_duration
0.389241684754964;simu2;scejcodboxplgnb;av_trip_duration
0.0996152971546564;simu3;scejcodboxplgnb;av_trip_duration
0.56968224516396;simu4;scejcodboxplgnb;av_trip_duration
-0.857534421556636;simu5;scejcodboxplgnb;av_trip_duration
-0.787367195189688;simu9;scejcodboxplgnb;av_trip_duration
-4.09898788323395;simu1;scesevereandchokeplgnb;totland
-5.29562251416773;simu2;scesevereandchokeplgnb;totland
-1.90523605514903;simu3;scesevereandchokeplgnb;totland
-3.93818000301877;simu4;scesevereandchokeplgnb;totland
-2.12855787408014;simu5;scesevereandchokeplgnb;totland
-3.27425592255271;simu9;scesevereandchokeplgnb;totland
-1.73752528566217;simu1;scefmsylowplgnb;totland
-2.20625755981909;simu2;scefmsylowplgnb;totland
-1.06222723562945;simu3;scefmsylowplgnb;totland
-2.84418697227525;simu4;scefmsylowplgnb;totland
-0.632911052939789;simu5;scefmsylowplgnb;totland
-2.07711296659394;simu9;scefmsylowplgnb;totland
-4.53236299892403;simu1;scefmsylowsevereandchokeplgnb;totland
-5.19966899746325;simu2;scefmsylowsevereandchokeplgnb;totland
-6.30076833643982;simu3;scefmsylowsevereandchokeplgnb;totland
-5.50083062641426;simu4;scefmsylowsevereandchokeplgnb;totland
-2.95530162589917;simu5;scefmsylowsevereandchokeplgnb;totland
-4.84794074196863;simu9;scefmsylowsevereandchokeplgnb;totland
5.59322576930887;simu1;scesmallerselplgnb;totland
3.09676876133504;simu2;scesmallerselplgnb;totland
4.54796651687586;simu3;scesmallerselplgnb;totland
4.24331717168067;simu4;scesmallerselplgnb;totland
5.45177142023672;simu5;scesmallerselplgnb;totland
3.32413236763742;simu9;scesmallerselplgnb;totland
0.214754402646662;simu1;scejcodboxplgnb;totland
-0.562816045526944;simu2;scejcodboxplgnb;totland
0.303087479994971;simu3;scejcodboxplgnb;totland
0.512463720243602;simu4;scejcodboxplgnb;totland
1.55192185176465;simu5;scejcodboxplgnb;totland
1.62437402041016;simu9;scejcodboxplgnb;totland
-14.9189024009957;simu1;scesevereandchokeplgnb;totland_explicit
-16.971530341447;simu2;scesevereandchokeplgnb;totland_explicit
-12.579712466438;simu3;scesevereandchokeplgnb;totland_explicit
-16.6807256107964;simu4;scesevereandchokeplgnb;totland_explicit
-13.0904439924041;simu5;scesevereandchokeplgnb;totland_explicit
-17.7631886173597;simu9;scesevereandchokeplgnb;totland_explicit
-2.22983207317456;simu1;scefmsylowplgnb;totland_explicit
-0.311045605681741;simu2;scefmsylowplgnb;totland_explicit
-0.367649883641889;simu3;scefmsylowplgnb;totland_explicit
-2.01082381959425;simu4;scefmsylowplgnb;totland_explicit
1.55494554478564;simu5;scefmsylowplgnb;totland_explicit
-3.6518569595206;simu9;scefmsylowplgnb;totland_explicit
-19.0398075859043;simu1;scefmsylowsevereandchokeplgnb;totland_explicit
-19.3162189268209;simu2;scefmsylowsevereandchokeplgnb;totland_explicit
-16.9687427113147;simu3;scefmsylowsevereandchokeplgnb;totland_explicit
-17.4393995681142;simu4;scefmsylowsevereandchokeplgnb;totland_explicit
-17.5153558248221;simu5;scefmsylowsevereandchokeplgnb;totland_explicit
-19.9574365624065;simu9;scefmsylowsevereandchokeplgnb;totland_explicit
7.54454878910873;simu1;scesmallerselplgnb;totland_explicit
7.05337193367926;simu2;scesmallerselplgnb;totland_explicit
10.7948506907686;simu3;scesmallerselplgnb;totland_explicit
10.0394193418362;simu4;scesmallerselplgnb;totland_explicit
10.8129963902229;simu5;scesmallerselplgnb;totland_explicit
7.07420493877218;simu9;scesmallerselplgnb;totland_explicit
12.4010559070593;simu1;scejcodboxplgnb;totland_explicit
11.4664385242511;simu2;scejcodboxplgnb;totland_explicit
13.9231937114279;simu3;scejcodboxplgnb;totland_explicit
17.5687126730479;simu4;scejcodboxplgnb;totland_explicit
14.975735256747;simu5;scejcodboxplgnb;totland_explicit
16.6380295094921;simu9;scejcodboxplgnb;totland_explicit
-3.75852080007265;simu1;scesevereandchokeplgnb;totland_4
-7.70733351998959;simu2;scesevereandchokeplgnb;totland_4
-6.60683257424523;simu3;scesevereandchokeplgnb;totland_4
-7.43068346744728;simu4;scesevereandchokeplgnb;totland_4
-4.96149717697629;simu5;scesevereandchokeplgnb;totland_4
-10.0620234578349;simu9;scesevereandchokeplgnb;totland_4
-0.831498366146405;simu1;scefmsylowplgnb;totland_4
-0.867670170950845;simu2;scefmsylowplgnb;totland_4
-1.00792691842038;simu3;scefmsylowplgnb;totland_4
-6.84466616556698;simu4;scefmsylowplgnb;totland_4
-2.10364384679389;simu5;scefmsylowplgnb;totland_4
-4.42865406930572;simu9;scefmsylowplgnb;totland_4
-11.5612208941326;simu1;scefmsylowsevereandchokeplgnb;totland_4
-14.5847824527533;simu2;scefmsylowsevereandchokeplgnb;totland_4
-13.198702802654;simu3;scefmsylowsevereandchokeplgnb;totland_4
-13.1951896316209;simu4;scefmsylowsevereandchokeplgnb;totland_4
-10.0449790329055;simu5;scefmsylowsevereandchokeplgnb;totland_4
-13.7526554631526;simu9;scefmsylowsevereandchokeplgnb;totland_4
-1.42173419563211;simu1;scesmallerselplgnb;totland_4
-1.92803977547565;simu2;scesmallerselplgnb;totland_4
-1.47203521157923;simu3;scesmallerselplgnb;totland_4
-2.12734512152345;simu4;scesmallerselplgnb;totland_4
0.253996592917076;simu5;scesmallerselplgnb;totland_4
-3.75824171272848;simu9;scesmallerselplgnb;totland_4
-2.21973569710869;simu1;scejcodboxplgnb;totland_4
-4.73644964501345;simu2;scejcodboxplgnb;totland_4
-3.48487905105181;simu3;scejcodboxplgnb;totland_4
-2.38534733204294;simu4;scejcodboxplgnb;totland_4
-1.95120980105874;simu5;scejcodboxplgnb;totland_4
-3.34221152742563;simu9;scejcodboxplgnb;totland_4
-0.304041721404474;simu1;scesevereandchokeplgnb;totland_12
0.847873366844595;simu2;scesevereandchokeplgnb;totland_12
0.220550022168965;simu3;scesevereandchokeplgnb;totland_12
-0.71890107348311;simu4;scesevereandchokeplgnb;totland_12
3.76883069614817;simu5;scesevereandchokeplgnb;totland_12
-0.634137912256577;simu9;scesevereandchokeplgnb;totland_12
-0.30894356932248;simu1;scefmsylowplgnb;totland_12
-0.471738169605928;simu2;scefmsylowplgnb;totland_12
0.477431676778892;simu3;scefmsylowplgnb;totland_12
-0.357946339396122;simu4;scefmsylowplgnb;totland_12
0.265288815733513;simu5;scefmsylowplgnb;totland_12
0.804883807727634;simu9;scefmsylowplgnb;totland_12
-1.3233396720473;simu1;scefmsylowsevereandchokeplgnb;totland_12
-0.131468556669148;simu2;scefmsylowsevereandchokeplgnb;totland_12
-0.0148458919359626;simu3;scefmsylowsevereandchokeplgnb;totland_12
-1.14344457442299;simu4;scefmsylowsevereandchokeplgnb;totland_12
0.735282731776678;simu5;scefmsylowsevereandchokeplgnb;totland_12
-0.672680999306351;simu9;scefmsylowsevereandchokeplgnb;totland_12
-0.330256350522916;simu1;scesmallerselplgnb;totland_12
0.916725816448576;simu2;scesmallerselplgnb;totland_12
0.436371137990861;simu3;scesmallerselplgnb;totland_12
0.189045338277637;simu4;scesmallerselplgnb;totland_12
2.3909715240171;simu5;scesmallerselplgnb;totland_12
1.54473198424658;simu9;scesmallerselplgnb;totland_12
1.08865657533545;simu1;scejcodboxplgnb;totland_12
5.19461073111036;simu2;scejcodboxplgnb;totland_12
5.02411956468197;simu3;scejcodboxplgnb;totland_12
4.45923957413288;simu4;scejcodboxplgnb;totland_12
3.06276864646864;simu5;scejcodboxplgnb;totland_12
4.27658231974451;simu9;scejcodboxplgnb;totland_12
-53.1211512224592;simu1;scesevereandchokeplgnb;totland_15
-54.1690637648209;simu2;scesevereandchokeplgnb;totland_15
-43.9345356575827;simu3;scesevereandchokeplgnb;totland_15
-57.153007831748;simu4;scesevereandchokeplgnb;totland_15
-53.6876727553561;simu5;scesevereandchokeplgnb;totland_15
-56.3672945598903;simu9;scesevereandchokeplgnb;totland_15
0.392070021059254;simu1;scefmsylowplgnb;totland_15
4.94785941909291;simu2;scefmsylowplgnb;totland_15
2.78934604328973;simu3;scefmsylowplgnb;totland_15
-0.327817135050068;simu4;scefmsylowplgnb;totland_15
3.63416599447031;simu5;scefmsylowplgnb;totland_15
-12.3571608855297;simu9;scefmsylowplgnb;totland_15
-51.2367560293483;simu1;scefmsylowsevereandchokeplgnb;totland_15
-54.7089652572994;simu2;scefmsylowsevereandchokeplgnb;totland_15
-51.3753428878608;simu3;scefmsylowsevereandchokeplgnb;totland_15
-52.0764770873289;simu4;scefmsylowsevereandchokeplgnb;totland_15
-54.5104434283002;simu5;scefmsylowsevereandchokeplgnb;totland_15
-57.3366977031141;simu9;scefmsylowsevereandchokeplgnb;totland_15
39.6691368795503;simu1;scesmallerselplgnb;totland_15
48.9384584211519;simu2;scesmallerselplgnb;totland_15
58.9426558172022;simu3;scesmallerselplgnb;totland_15
53.453246184264;simu4;scesmallerselplgnb;totland_15
46.1091406088741;simu5;scesmallerselplgnb;totland_15
28.0540498116672;simu9;scesmallerselplgnb;totland_15
57.5374242456378;simu1;scejcodboxplgnb;totland_15
61.8513664844771;simu2;scejcodboxplgnb;totland_15
59.3289681244864;simu3;scejcodboxplgnb;totland_15
71.9792633400733;simu4;scejcodboxplgnb;totland_15
46.0755500587993;simu5;scejcodboxplgnb;totland_15
48.7873315838521;simu9;scejcodboxplgnb;totland_15
-13.7184188049566;simu1;scesevereandchokeplgnb;totland_29
-18.5561960058702;simu2;scesevereandchokeplgnb;totland_29
-14.5920511969451;simu3;scesevereandchokeplgnb;totland_29
-14.3344847991736;simu4;scesevereandchokeplgnb;totland_29
-10.4553319203655;simu5;scesevereandchokeplgnb;totland_29
-13.7691789713496;simu9;scesevereandchokeplgnb;totland_29
-2.76113173612211;simu1;scefmsylowplgnb;totland_29
-3.01922584855512;simu2;scefmsylowplgnb;totland_29
1.73724590525097;simu3;scefmsylowplgnb;totland_29
-0.978030946853892;simu4;scefmsylowplgnb;totland_29
2.82092207545391;simu5;scefmsylowplgnb;totland_29
-1.61216720440778;simu9;scefmsylowplgnb;totland_29
-16.2721818615898;simu1;scefmsylowsevereandchokeplgnb;totland_29
-17.0095003132708;simu2;scefmsylowsevereandchokeplgnb;totland_29
-13.5773175161762;simu3;scefmsylowsevereandchokeplgnb;totland_29
-14.7834012799152;simu4;scefmsylowsevereandchokeplgnb;totland_29
-12.7945816747531;simu5;scefmsylowsevereandchokeplgnb;totland_29
-14.4872290416619;simu9;scefmsylowsevereandchokeplgnb;totland_29
1.84735440194075;simu1;scesmallerselplgnb;totland_29
-3.63287124863922;simu2;scesmallerselplgnb;totland_29
0.414530220547888;simu3;scesmallerselplgnb;totland_29
-1.77838514086559;simu4;scesmallerselplgnb;totland_29
2.67859646092516;simu5;scesmallerselplgnb;totland_29
0.491983137803899;simu9;scesmallerselplgnb;totland_29
4.71667666641208;simu1;scejcodboxplgnb;totland_29
2.33275837034645;simu2;scejcodboxplgnb;totland_29
6.78100059635855;simu3;scejcodboxplgnb;totland_29
4.58785744524491;simu4;scejcodboxplgnb;totland_29
7.56211632315191;simu5;scejcodboxplgnb;totland_29
6.81258520455768;simu9;scejcodboxplgnb;totland_29
3.11523921926324;simu1;scesevereandchokeplgnb;totland_30
11.9675596923423;simu2;scesevereandchokeplgnb;totland_30
-7.18644835098685;simu3;scesevereandchokeplgnb;totland_30
3.18104493443221;simu4;scesevereandchokeplgnb;totland_30
11.1407672704306;simu5;scesevereandchokeplgnb;totland_30
-3.71052553467435;simu9;scesevereandchokeplgnb;totland_30
-5.96581171884888;simu1;scefmsylowplgnb;totland_30
1.39127129607412;simu2;scefmsylowplgnb;totland_30
-10.3607572067226;simu3;scefmsylowplgnb;totland_30
-5.71485595863138;simu4;scefmsylowplgnb;totland_30
-4.60680774036729;simu5;scefmsylowplgnb;totland_30
-8.51494860478594;simu9;scefmsylowplgnb;totland_30
-3.85380624676306;simu1;scefmsylowsevereandchokeplgnb;totland_30
4.25500253877227;simu2;scefmsylowsevereandchokeplgnb;totland_30
-3.96004778714281;simu3;scefmsylowsevereandchokeplgnb;totland_30
-6.71190033064096;simu4;scefmsylowsevereandchokeplgnb;totland_30
-13.4973422472071;simu5;scefmsylowsevereandchokeplgnb;totland_30
-6.38535405586975;simu9;scefmsylowsevereandchokeplgnb;totland_30
3.34607550730888;simu1;scesmallerselplgnb;totland_30
1.77990610694667;simu2;scesmallerselplgnb;totland_30
2.74230954041543;simu3;scesmallerselplgnb;totland_30
2.11014910583027;simu4;scesmallerselplgnb;totland_30
8.99256029141064;simu5;scesmallerselplgnb;totland_30
4.86667916461241;simu9;scesmallerselplgnb;totland_30
8.27437851378419;simu1;scejcodboxplgnb;totland_30
22.0817338809905;simu2;scejcodboxplgnb;totland_30
12.7629837368507;simu3;scejcodboxplgnb;totland_30
18.765043868525;simu4;scejcodboxplgnb;totland_30
13.8858787270886;simu5;scejcodboxplgnb;totland_30
26.4680790607152;simu9;scejcodboxplgnb;totland_30
1.48812218097494;simu1;scesevereandchokeplgnb;totland_35
5.56997957630855;simu2;scesevereandchokeplgnb;totland_35
-3.73616193185876;simu3;scesevereandchokeplgnb;totland_35
3.491383193609;simu4;scesevereandchokeplgnb;totland_35
3.22021214954292;simu5;scesevereandchokeplgnb;totland_35
-1.72177737076562;simu9;scesevereandchokeplgnb;totland_35
5.17899783836253;simu1;scefmsylowplgnb;totland_35
8.79644227869947;simu2;scefmsylowplgnb;totland_35
1.81559554609356;simu3;scefmsylowplgnb;totland_35
9.38666434914172;simu4;scefmsylowplgnb;totland_35
6.35912704396544;simu5;scefmsylowplgnb;totland_35
2.23657344435549;simu9;scefmsylowplgnb;totland_35
4.9588695579925;simu1;scefmsylowsevereandchokeplgnb;totland_35
7.50281773636613;simu2;scefmsylowsevereandchokeplgnb;totland_35
0.548789093672639;simu3;scefmsylowsevereandchokeplgnb;totland_35
7.93236607484515;simu4;scefmsylowsevereandchokeplgnb;totland_35
8.77279106074127;simu5;scefmsylowsevereandchokeplgnb;totland_35
1.48482351272936;simu9;scefmsylowsevereandchokeplgnb;totland_35
4.41883351017024;simu1;scesmallerselplgnb;totland_35
13.9437763683231;simu2;scesmallerselplgnb;totland_35
0.881202898610198;simu3;scesmallerselplgnb;totland_35
10.2807014786446;simu4;scesmallerselplgnb;totland_35
5.60911276676703;simu5;scesmallerselplgnb;totland_35
7.37265716909997;simu9;scesmallerselplgnb;totland_35
-4.05921757949145;simu1;scejcodboxplgnb;totland_35
3.080138512597;simu2;scejcodboxplgnb;totland_35
-4.14618468402217;simu3;scejcodboxplgnb;totland_35
-0.566072934441721;simu4;scejcodboxplgnb;totland_35
0.501936244769581;simu5;scejcodboxplgnb;totland_35
-2.66771643476179;simu9;scejcodboxplgnb;totland_35
-18.9615559855834;simu1;scesevereandchokeplgnb;totland_36
-11.8870959231396;simu2;scesevereandchokeplgnb;totland_36
23.6302073108797;simu3;scesevereandchokeplgnb;totland_36
-12.4402575417465;simu4;scesevereandchokeplgnb;totland_36
-4.26713309133193;simu5;scesevereandchokeplgnb;totland_36
-11.3131386640274;simu9;scesevereandchokeplgnb;totland_36
-13.6263496107938;simu1;scefmsylowplgnb;totland_36
3.51088909895785;simu2;scefmsylowplgnb;totland_36
-12.2118148869676;simu3;scefmsylowplgnb;totland_36
14.6324604056069;simu4;scefmsylowplgnb;totland_36
13.1929088628057;simu5;scefmsylowplgnb;totland_36
9.49687972398368;simu9;scefmsylowplgnb;totland_36
-30.6188580660207;simu1;scefmsylowsevereandchokeplgnb;totland_36
-17.3207253201599;simu2;scefmsylowsevereandchokeplgnb;totland_36
-8.0075485644815;simu3;scefmsylowsevereandchokeplgnb;totland_36
5.1353319107412;simu4;scefmsylowsevereandchokeplgnb;totland_36
-17.9176476187492;simu5;scefmsylowsevereandchokeplgnb;totland_36
-21.3581588306525;simu9;scefmsylowsevereandchokeplgnb;totland_36
21.1503177959527;simu1;scesmallerselplgnb;totland_36
29.3197110328944;simu2;scesmallerselplgnb;totland_36
47.3344081840247;simu3;scesmallerselplgnb;totland_36
62.4906983610228;simu4;scesmallerselplgnb;totland_36
36.6329738471698;simu5;scesmallerselplgnb;totland_36
58.2391784130809;simu9;scesmallerselplgnb;totland_36
41.9479549337766;simu1;scejcodboxplgnb;totland_36
36.5941557693454;simu2;scejcodboxplgnb;totland_36
61.7032103843039;simu3;scejcodboxplgnb;totland_36
99.3990227859221;simu4;scejcodboxplgnb;totland_36
90.7407312829517;simu5;scejcodboxplgnb;totland_36
112.860190238341;simu9;scejcodboxplgnb;totland_36
-3.0530379641604;simu1;scesevereandchokeplgnb;revenue
-5.57236190866274;simu2;scesevereandchokeplgnb;revenue
-1.91881547675152;simu3;scesevereandchokeplgnb;revenue
