metier_name,met,stock,sz group 0,sz group 1,sz group 2,sz group 3,sz group 4,sz group 5,sz group 6,sz group 7,sz group 8,sz group 9,sz group 10,sz group 11,sz group 12,sz group 13
GTN,2,FLE.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,GUG.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,HAD.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,HER.3a22,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GTN,2,HER.2532,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GTN,2,HER.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GTN,2,HKE.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,HOM.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GTN,2,LEM.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,MAC.nsea,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GTN,2,MUR.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,MON.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,MUS.kask,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GTN,2,MUS.2224,0.0002,0.0003,0.0004,0.0007,0.0012,0.0019,0.0032,0.0053,0.0086,0.0141,0.0231,0.0375,0.0603,0.0956
GTN,2,NEP.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,NEP.kask,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,NOP.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,PLE.2123,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,PLE.2432,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,PLE.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,POK.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,POL.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,PRA.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,SAN.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,SOL.3a2223,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
GTN,2,SOL.nsea,0.0017,0.004,0.0095,0.022,0.0504,0.1113,0.2282,0.4108,0.6219,0.7951,0.9015,0.9558,0.9808,0.9918
