"node" "lat" "long" "cumdiscards" "cumcatches" "cumdiscardsovercumcatches"
0 51.2539 4.37567 0 0 NA
0 51.2541 1.63393 0 0 NA
0 51.2572 1.76262 0 0 NA
0 51.2601 1.89132 0 0 NA
0 51.2629 2.02005 0 0 NA
0 51.2656 2.14878 0 0 NA
0 51.2681 2.27754 0 0 NA
0 51.2705 2.4063 0 0 NA
0 51.272 1.33945 0 0 NA
0 51.2727 2.53508 0 0 NA
0 51.2748 2.66387 0 0 NA
0 51.2767 2.79268 0 0 NA
0 51.2785 2.92149 0 0 NA
0 51.3 3.83333 0 0 NA
0 51.3167 0.9 0 0 NA
0 51.3167 1.01667 0 0 NA
0 51.3189 1.4409 0 0 NA
0 51.3221 1.56956 0 0 NA
0 51.3253 1.69825 0 0 NA
0 51.3277 1.42029 0 0 NA
0 51.3283 1.82695 0 0 NA
0 51.3312 1.95566 0 0 NA
0 51.3333 1.43333 0 0 NA
0 51.3333 3.2 0 0 NA
0 51.3339 2.08439 0 0 NA
0 51.3365 2.21314 0 0 NA
0 51.3372 3.81387 0 0 NA
0 51.3389 2.3419 0 0 NA
0 51.3412 2.47067 0 0 NA
0 51.3434 2.59946 0 0 NA
0 51.3454 2.72826 0 0 NA
0 51.3473 2.85707 0 0 NA
0 51.349 2.98589 0 0 NA
0 51.35 1.1 0 0 NA
0 51.3506 3.11472 0 0 NA
0 51.3565 3.75897 0 0 NA
0 51.3583 4.14559 0 0 NA
0 51.363 3.19726 0 0 NA
0 51.3631 4.08929 0 0 NA
0 51.3645 1.02533 0 0 NA
0 51.3667 0.45 0 0 NA
0 51.3667 1.13333 0 0 NA
0 51.3667 1.41667 0 0 NA
0 51.3764 1.0097 0 0 NA
0 51.3802 1.13879 0 0 NA
0 51.3824 0.633499 0 0 NA
0 51.3833 1.41667 0 0 NA
0 51.3833 4.03333 0 0 NA
0 51.3836 0.767342 0 0 NA
0 51.3839 1.26789 0 0 NA
0 51.3843 0.483101 0 0 NA
0 51.3907 1.52616 0 0 NA
0 51.3939 1.65533 0 0 NA
0 51.397 1.78451 0 0 NA
0 51.3999 1.91371 0 0 NA
0 51.4 0.5 0 0 NA
0 51.4 0.516667 0 0 NA
0 51.4 3.55 0 0 NA
0 51.4007 3.56769 0 0 NA
0 51.4027 2.04292 0 0 NA
0 51.4053 2.17215 0 0 NA
0 51.4078 2.3014 0 0 NA
0 51.4102 2.43066 0 0 NA
0 51.4124 2.55993 0 0 NA
0 51.4145 2.68921 0 0 NA
0 51.4164 2.81851 0 0 NA
0 51.4165 0.732302 0 0 NA
0 51.4167 0.766667 0 0 NA
0 51.4181 0.659947 0 0 NA
0 51.4182 2.94781 0 0 NA
0 51.4198 3.07713 0 0 NA
0 51.4204 0.601329 0 0 NA
0 51.4213 3.20645 0 0 NA
0 51.4227 3.33578 0 0 NA
0 51.4239 3.46512 0 0 NA
0 51.4249 3.59447 0 0 NA
0 51.4273 3.98254 0 0 NA
0 51.4333 0.333333 0 0 NA
0 51.4333 0.766667 0 0 NA
0 51.4334 0.700016 0 0 NA
0 51.4402 0.816087 0 0 NA
0 51.4435 0.382241 0 0 NA
0 51.4441 0.94514 0 0 NA
0 51.4459 0.746985 0 0 NA
0 51.448 1.07422 0 0 NA
0 51.45 0.283333 0 0 NA
0 51.45 3.58333 0 0 NA
0 51.4517 1.20331 0 0 NA
0 51.455 0.714498 0 0 NA
0 51.4553 1.33243 0 0 NA
0 51.4573 3.67291 0 0 NA
0 51.4587 1.46157 0 0 NA
0 51.462 1.59072 0 0 NA
0 51.4644 0.346111 0 0 NA
0 51.4651 1.7199 0 0 NA
0 51.4653 0.248468 0 0 NA
0 51.4667 0.466667 0 0 NA
0 51.4681 1.84909 0 0 NA
0 51.4709 1.9783 0 0 NA
0 51.4737 2.10752 0 0 NA
0 51.4762 2.23676 0 0 NA
0 51.4786 2.36601 0 0 NA
0 51.4809 2.49528 0 0 NA
0 51.4817 0.181713 0 0 NA
0 51.4831 2.62455 0 0 NA
0 51.4833 -0.0333335 0 0 NA
0 51.4833 0.233333 0 0 NA
0 51.4833 2.51e-07 0 0 NA
0 51.4851 2.75384 0 0 NA
0 51.4869 2.88315 0 0 NA
0 51.487 -0.0268915 0 0 NA
0 51.4886 3.01246 0 0 NA
0 51.4902 3.14178 0 0 NA
0 51.4916 3.27111 0 0 NA
0 51.4921 3.60889 0 0 NA
0 51.4929 3.40044 0 0 NA
0 51.4985 4.055 0 0 NA
0 51.5 0.0333333 0 0 NA
0 51.5 0.183334 0 0 NA
0 51.5 4.3 0 0 NA
0 51.5017 4.2417 0 0 NA
0 51.5036 0.622523 0 0 NA
0 51.5054 -0.079138 0 0 NA
0 51.5078 0.751542 0 0 NA
