 745 1684  1.01019000 54.36960000 8 
 745 1689  1.70043000 54.38760000 3 
 745 1690  1.83854000 54.39070000 1 
 745 1691  1.97668000 54.39370000 40 
 745 1693  2.25301000 54.39910000 43 
 745 1701  3.35893000 54.41470000 4 
 745 1703  3.63552000 54.41700000 3 
 745 1706  4.05045000 54.41920000 27 
 745 1707  4.18877000 54.41970000 19 
 745 1708  4.32710000 54.41990000 51 
 745 1709  4.46542000 54.42000000 6 
 745 1711  4.74207000 54.41980000 19 
 745 1713  5.01870000 54.41890000 15 
 745 1714  5.15702000 54.41830000 5 
 745 1716  5.43363000 54.41640000 17 
 745 1718  5.71021000 54.41400000 19 
 745 1720  5.98676000 54.41090000 8 
 745 1722  6.26326000 54.40720000 2 
 745 1727  6.95425000 54.39510000 17 
 745 1735  8.05880000 54.36760000 7 
 745 1736  8.19675000 54.36340000 8 
 745 1756  0.94117900 54.43710000 10 
 745 1759  1.35521000 54.44860000 10 
 745 1761  1.63135000 54.45550000 16 
 745 1762  1.76946000 54.45870000 13 
 745 1763  1.90759000 54.46180000 28 
 745 1778  3.98129000 54.48850000 6 
 745 1779  4.11961000 54.48900000 6 
 745 1780  4.25793000 54.48930000 6 
 745 1781  4.39626000 54.48950000 9 
 745 1784  4.81123000 54.48920000 13 
 745 1785  4.94955000 54.48870000 6 
 745 1786  5.08787000 54.48810000 15 
 745 1789  5.50279000 54.48540000 5 
 745 1790  5.64108000 54.48420000 3 
 745 1792  5.91764000 54.48130000 2 
 745 1794  6.19415000 54.47770000 9 
 745 1796  6.47061000 54.47350000 14 
 745 1797  6.60882000 54.47120000 12 
 745 1807  7.98983000 54.43920000 2 
 745 1834  1.30777000 54.51700000 102 
 745 1835  1.44638000 54.52050000 3 
 745 1836  1.58502000 54.52400000 12 
 745 1841  2.27853000 54.53870000 16 
 745 1854  4.08334000 54.55840000 7 
 745 1857  4.50000000 54.55910000 6 
 745 1863  5.33329000 54.55620000 27 
 745 1864  5.47215000 54.55520000 25 
 745 1865  5.61101000 54.55400000 4 
 745 1866  5.74986000 54.55260000 4 
 745 1867  5.88870000 54.55110000 5 
 745 1869  6.16635000 54.54760000 10 
 745 1872  6.58271000 54.54120000 2 
 745 1882  7.96938000 54.50930000 22 
 745 1907  0.13063200 54.54970000 5 
 745 1914  1.09987000 54.58080000 42 
 745 1915  1.23845000 54.58470000 185 
 745 1920  1.93169000 54.60140000 20 
 745 1921  2.07041000 54.60420000 3 
 745 1930  3.31955000 54.62290000 6 
 745 1933  3.73614000 54.62620000 2 
 745 1934  3.87501000 54.62700000 1 
 745 1936  4.15278000 54.62810000 17 
 745 1938  4.43056000 54.62860000 3 
 745 1939  4.56944000 54.62860000 2 
 745 1940  4.70833000 54.62840000 3 
 745 1941  4.84722000 54.62810000 1 
 745 1952  6.37456000 54.61410000 4 
 745 1953  6.51334000 54.61190000 9 
 745 1956  6.92959000 54.60420000 20 
 745 1958  7.20700000 54.59830000 21 
 745 1960  7.48432000 54.59180000 25 
 745 1961  7.62295000 54.58830000 6 
 745 1964  8.03868000 54.57690000 19 
 745 1967  8.59260000 54.55940000 6 
 745 1997  1.19034000 54.65290000 214 
 745 1999  1.46869000 54.66020000 11 
 745 2000  1.60790000 54.66360000 45 
 745 2005  2.30426000 54.67820000 5 
 745 2010  3.00106000 54.68890000 6 
 745 2019  4.25595000 54.69790000 10 
 745 2027  5.37156000 54.69500000 30 
 745 2028  5.51100000 54.69390000 18 
 745 2030  5.78984000 54.69130000 3 
 745 2031  5.92924000 54.68970000 16 
 745 2033  6.20802000 54.68610000 29 
 745 2038  6.90470000 54.67430000 4 
 745 2041  7.32249000 54.66520000 10 
 745 2042  7.46171000 54.66190000 4 
 745 2043  7.60091000 54.65840000 166 
 745 2044  7.74008000 54.65480000 12 
 745 2050  8.71351000 54.62480000 2 
 745 2079  0.98162800 54.71660000 10 
 745 2080  1.12075000 54.72050000 3 
 745 2081  1.25990000 54.72430000 2 
 745 2101  4.04677000 54.76680000 5 
 745 2103  4.32568000 54.76750000 1 
 745 2118  6.41708000 54.75250000 15 
 745 2119  6.55642000 54.75020000 10 
 745 2120  6.69575000 54.74780000 7 
 745 2121  6.83507000 54.74520000 10 
 745 2124  7.25289000 54.73640000 4 
 745 2126  7.53133000 54.72970000 28 
 745 2127  7.67052000 54.72620000 13 
 745 2128  7.80968000 54.72250000 20 
 745 2130  8.08792000 54.71450000 4 
 745 2133  8.64406000 54.69680000 2 
 745 2173  2.33021000 54.81770000 4 
 745 2178  3.02989000 54.82820000 4 
 745 2179  3.16986000 54.82990000 1 
 745 2180  3.30985000 54.83130000 1 
 745 2187  4.28995000 54.83700000 19 
 745 2188  4.42998000 54.83710000 3 
 745 2189  4.57002000 54.83710000 1 
 745 2195  5.41015000 54.83370000 2 
 745 2197  5.69015000 54.83130000 1 
 745 2200  6.11008000 54.82650000 5 
 745 2203  6.52989000 54.82020000 1 
 745 2204  6.66979000 54.81770000 8 
 745 2208  7.22923000 54.80650000 3 
 745 2212  7.78832000 54.79260000 12 
 745 2214  8.06771000 54.78470000 26 
 745 2218  8.62615000 54.76690000 2 
 745 2240  -0.11437600 54.81890000 48 
 745 2251  1.42127000 54.86760000 21 
 745 2260  2.67999000 54.89300000 1 
 745 2268  3.79986000 54.90460000 2 
 745 2269  3.93988000 54.90540000 9 
 745 2272  4.35997000 54.90660000 13 
 745 2273  4.50000000 54.90670000 31 
 745 2274  4.64003000 54.90660000 10 
 745 2275  4.78006000 54.90630000 8 
 745 2278  5.20014000 54.90460000 5 
 745 2282  5.76016000 54.90010000 7 
 745 2283  5.90014000 54.89860000 17 
 745 2284  6.04011000 54.89690000 11 
 745 2286  6.32001000 54.89300000 4 
