 745 1167  4.36335000 53.86370000 301.85365635 
 745 1169  4.63665000 53.86370000 2112.97559445 
 745 1170  4.77331000 53.86350000 7736.97123949 
 745 1171  4.90996000 53.86310000 8015.47331536 
 745 1172  5.04661000 53.86260000 19311.57060744 
 745 1174  5.31989000 53.86100000 0.01820000 
 745 1176  5.59315000 53.85880000 301.85365635 
 745 1177  5.72977000 53.85750000 25022.52320913 
 745 1185  6.82229000 53.84130000 2883.66232699 
 745 1192  7.77737000 53.81900000 5846.70920254 
 745 1195  8.18634000 53.80710000 3132.16564044 
 745 1199  0.06450100 53.85130000 0.42921664 
 745 1218  2.65557000 53.91920000 4549.65672261 
 745 1220  2.92872000 53.92310000 11612.85583898 
 745 1221  3.06531000 53.92480000 7012.57723194 
 745 1222  3.20192000 53.92630000 10908.13666721 
 745 1225  3.61179000 53.93010000 2716.72027506 
 745 1227  3.88507000 53.93180000 905.57342502 
 745 1228  4.02171000 53.93240000 905.56096905 
 745 1231  4.43167000 53.93330000 2883.60838969 
 745 1233  4.70498000 53.93320000 15155.39021877 
 745 1234  4.84164000 53.93290000 14194.49437266 
 745 1235  4.97829000 53.93240000 6583.80150677 
 745 1236  5.11493000 53.93180000 20612.97840761 
 745 1239  5.52484000 53.92900000 587.53958534 
 745 1240  5.66147000 53.92770000 6277.19904967 
 745 1241  5.79808000 53.92630000 3200.40940229 
 745 1244  6.20786000 53.92120000 0.00500000 
 745 1245  6.34443000 53.91920000 1398.69596400 
 745 1246  6.48099000 53.91700000 1357.02765973 
 745 1259  8.25451000 53.87460000 4634.47630606 
 745 1262  8.93550000 53.85130000 5638.94299857 
 745 1282  2.47677000 53.98580000 3151.83727854 
 745 1283  2.61387000 53.98810000 6749.61529132 
 745 1285  2.88811000 53.99210000 7574.51531658 
 745 1286  3.02526000 53.99380000 6062.49247151 
 745 1287  3.16241000 53.99540000 14875.93024403 
 745 1290  3.57392000 53.99930000 3309.23113151 
 745 1291  3.71110000 54.00030000 1636.76300397 
 745 1293  3.98549000 54.00180000 350.72942252 
 745 1295  4.25989000 54.00260000 3018.53656351 
 745 1300  4.94591000 54.00210000 10638.01711176 
 745 1301  5.08311000 54.00150000 14487.68622585 
 745 1302  5.22030000 54.00070000 10628.03101235 
 745 1306  5.76901000 53.99620000 0.00900000 
 745 1320  7.68787000 53.96060000 69.22466804 
 745 1321  7.82478000 53.95690000 14177.50193392 
 745 1322  7.96167000 53.95300000 19150.68677117 
 745 1330  -0.05580880 53.98600000 0.00230000 
 745 1346  2.13407000 54.04910000 16729.47670426 
 745 1347  2.27113000 54.05180000 4137.18794436 
 745 1348  2.40821000 54.05420000 17412.99000611 
 745 1349  2.54530000 54.05650000 14915.36408469 
 745 1350  2.68241000 54.05870000 4409.92812130 
 745 1351  2.81954000 54.06070000 1402.88517034 
 745 1358  3.77969000 54.07030000 1811.14685004 
 745 1359  3.91689000 54.07100000 1169.11643141 
 745 1360  4.05408000 54.07160000 296.13007328 
 745 1363  4.46570000 54.07240000 3707.49712996 
 745 1367  5.01452000 54.07130000 5472.84722446 
 745 1368  5.15171000 54.07060000 9665.94209689 
 745 1369  5.28891000 54.06980000 20920.86563125 
 745 1372  5.70044000 54.06640000 1544.73235880 
 745 1380  6.79740000 54.05050000 313.40833192 
 745 1386  7.61943000 54.03190000 29097.35753659 
 745 1388  7.89326000 54.02450000 2769.24249684 
 745 1389  8.03014000 54.02060000 22.09042838 
 745 1392  8.44061000 54.00780000 776.72588173 
 745 1396  -0.12415100 54.05300000 0.79099431 
 745 1411  1.92849000 54.11450000 38302.43674925 
 745 1412  2.06553000 54.11730000 43789.08444546 
 745 1413  2.20258000 54.12000000 138480.29192243 
 745 1414  2.33965000 54.12260000 4263.88981399 
 745 1415  2.47674000 54.12490000 3025.62560073 
 745 1416  2.61384000 54.12720000 1401.91063849 
 745 1417  2.75096000 54.12920000 3382.54462388 
 745 1418  2.88809000 54.13120000 9151.87637013 
 745 1423  3.57390000 54.13840000 116.91164314 
